log_id,user_id,activity_type,destination_id,activity_timestamp,additional_data
1,391,search,,2023-04-16 11:13:19,"{""info"": ""Sample log data"", ""session_id"": 1508}"
2,881,click,7.0,2020-10-04 12:37:34,"{""info"": ""Sample log data"", ""session_id"": 9460}"
3,623,click,7.0,2022-10-31 02:54:43,"{""info"": ""Sample log data"", ""session_id"": 6598}"
4,348,booking,,2022-03-13 05:06:49,"{""info"": ""Sample log data"", ""session_id"": 3874}"
5,760,review_submission,9.0,2023-03-25 22:03:55,"{""info"": ""Sample log data"", ""session_id"": 9299}"
6,772,booking,14.0,2024-04-01 22:09:55,"{""info"": ""Sample log data"", ""session_id"": 8406}"
7,92,booking,13.0,2021-09-08 10:07:08,"{""info"": ""Sample log data"", ""session_id"": 5752}"
8,899,booking,,2022-05-22 10:41:41,"{""info"": ""Sample log data"", ""session_id"": 6537}"
9,868,booking,,2023-08-10 07:05:12,"{""info"": ""Sample log data"", ""session_id"": 1469}"
10,10,click,1.0,2020-10-15 01:23:37,"{""info"": ""Sample log data"", ""session_id"": 7777}"
11,659,click,,2021-04-10 12:34:04,"{""info"": ""Sample log data"", ""session_id"": 4613}"
12,992,review_submission,,2022-04-09 17:06:48,"{""info"": ""Sample log data"", ""session_id"": 3059}"
13,708,search,,2021-10-07 04:12:19,"{""info"": ""Sample log data"", ""session_id"": 7399}"
14,817,click,,2020-06-20 23:33:08,"{""info"": ""Sample log data"", ""session_id"": 6322}"
15,858,review_submission,1.0,2022-03-14 13:25:44,"{""info"": ""Sample log data"", ""session_id"": 1481}"
16,800,search,,2020-04-12 23:34:07,"{""info"": ""Sample log data"", ""session_id"": 9906}"
17,117,search,,2022-03-17 14:47:41,"{""info"": ""Sample log data"", ""session_id"": 1315}"
18,247,booking,,2024-10-11 23:44:17,"{""info"": ""Sample log data"", ""session_id"": 5456}"
19,194,review_submission,,2020-04-15 09:43:01,"{""info"": ""Sample log data"", ""session_id"": 1255}"
20,708,review_submission,,2024-11-07 05:02:13,"{""info"": ""Sample log data"", ""session_id"": 6418}"
21,730,booking,12.0,2022-08-05 05:34:10,"{""info"": ""Sample log data"", ""session_id"": 3969}"
22,609,booking,,2023-04-17 23:34:21,"{""info"": ""Sample log data"", ""session_id"": 8008}"
23,590,booking,5.0,2020-09-19 16:01:16,"{""info"": ""Sample log data"", ""session_id"": 8798}"
24,863,booking,,2021-02-09 05:36:41,"{""info"": ""Sample log data"", ""session_id"": 8776}"
25,352,click,9.0,2020-02-07 05:21:20,"{""info"": ""Sample log data"", ""session_id"": 2839}"
26,425,search,,2021-09-27 23:03:58,"{""info"": ""Sample log data"", ""session_id"": 5438}"
27,314,review_submission,,2022-09-17 20:42:52,"{""info"": ""Sample log data"", ""session_id"": 4016}"
28,240,booking,11.0,2023-06-25 15:34:05,"{""info"": ""Sample log data"", ""session_id"": 4487}"
29,565,click,14.0,2023-08-05 20:33:04,"{""info"": ""Sample log data"", ""session_id"": 5562}"
30,932,review_submission,12.0,2020-05-23 11:38:47,"{""info"": ""Sample log data"", ""session_id"": 1868}"
31,93,review_submission,,2024-09-24 00:12:38,"{""info"": ""Sample log data"", ""session_id"": 2694}"
32,129,booking,,2023-10-25 08:27:59,"{""info"": ""Sample log data"", ""session_id"": 7636}"
33,975,search,12.0,2020-05-07 05:45:35,"{""info"": ""Sample log data"", ""session_id"": 5433}"
34,895,booking,,2020-10-06 04:36:37,"{""info"": ""Sample log data"", ""session_id"": 5725}"
35,178,click,,2021-04-10 06:17:35,"{""info"": ""Sample log data"", ""session_id"": 9877}"
36,207,click,8.0,2024-07-19 19:11:00,"{""info"": ""Sample log data"", ""session_id"": 8731}"
37,731,booking,,2024-03-08 09:54:23,"{""info"": ""Sample log data"", ""session_id"": 3042}"
38,676,click,1.0,2023-07-11 23:32:08,"{""info"": ""Sample log data"", ""session_id"": 6336}"
39,388,booking,,2024-01-07 13:12:01,"{""info"": ""Sample log data"", ""session_id"": 2570}"
40,848,search,6.0,2020-07-20 04:03:27,"{""info"": ""Sample log data"", ""session_id"": 9596}"
41,887,review_submission,,2020-08-14 18:06:18,"{""info"": ""Sample log data"", ""session_id"": 1033}"
42,500,search,,2021-01-05 12:41:25,"{""info"": ""Sample log data"", ""session_id"": 2246}"
43,308,review_submission,,2023-04-01 06:54:42,"{""info"": ""Sample log data"", ""session_id"": 2338}"
44,992,search,10.0,2020-07-06 12:04:10,"{""info"": ""Sample log data"", ""session_id"": 8495}"
45,372,booking,,2024-02-29 17:43:57,"{""info"": ""Sample log data"", ""session_id"": 4487}"
46,983,booking,12.0,2022-01-19 07:20:35,"{""info"": ""Sample log data"", ""session_id"": 9143}"
47,739,review_submission,,2023-11-25 11:34:53,"{""info"": ""Sample log data"", ""session_id"": 1077}"
48,58,review_submission,9.0,2021-04-01 19:28:15,"{""info"": ""Sample log data"", ""session_id"": 6580}"
49,249,click,6.0,2021-05-02 05:39:16,"{""info"": ""Sample log data"", ""session_id"": 2417}"
50,769,search,9.0,2021-05-30 17:38:28,"{""info"": ""Sample log data"", ""session_id"": 7654}"
51,495,search,,2023-06-14 23:34:56,"{""info"": ""Sample log data"", ""session_id"": 7749}"
52,746,search,,2023-01-25 07:13:26,"{""info"": ""Sample log data"", ""session_id"": 4330}"
53,563,click,,2023-11-28 05:25:27,"{""info"": ""Sample log data"", ""session_id"": 2035}"
54,420,booking,7.0,2020-12-02 20:11:01,"{""info"": ""Sample log data"", ""session_id"": 1019}"
55,850,search,,2020-01-30 21:47:11,"{""info"": ""Sample log data"", ""session_id"": 1346}"
56,458,search,13.0,2024-02-23 08:31:54,"{""info"": ""Sample log data"", ""session_id"": 9522}"
57,796,search,,2023-09-12 09:22:30,"{""info"": ""Sample log data"", ""session_id"": 4683}"
58,169,search,8.0,2024-11-07 21:55:42,"{""info"": ""Sample log data"", ""session_id"": 9435}"
59,241,booking,,2025-01-19 01:59:41,"{""info"": ""Sample log data"", ""session_id"": 3532}"
60,689,review_submission,,2024-08-07 06:49:51,"{""info"": ""Sample log data"", ""session_id"": 8213}"
61,886,review_submission,11.0,2023-06-27 08:19:16,"{""info"": ""Sample log data"", ""session_id"": 6695}"
62,61,review_submission,,2022-04-15 19:41:34,"{""info"": ""Sample log data"", ""session_id"": 6575}"
63,405,booking,8.0,2023-08-19 20:41:05,"{""info"": ""Sample log data"", ""session_id"": 8715}"
64,405,booking,,2020-10-06 00:53:13,"{""info"": ""Sample log data"", ""session_id"": 9353}"
65,165,search,,2024-03-28 12:17:01,"{""info"": ""Sample log data"", ""session_id"": 8809}"
66,592,booking,1.0,2021-08-25 05:05:09,"{""info"": ""Sample log data"", ""session_id"": 6035}"
67,342,click,13.0,2020-07-08 13:14:41,"{""info"": ""Sample log data"", ""session_id"": 4045}"
68,448,click,7.0,2020-06-30 06:42:40,"{""info"": ""Sample log data"", ""session_id"": 4550}"
69,129,review_submission,,2022-12-08 20:25:24,"{""info"": ""Sample log data"", ""session_id"": 3815}"
70,976,booking,8.0,2022-01-20 09:11:33,"{""info"": ""Sample log data"", ""session_id"": 1165}"
71,627,search,,2020-05-01 20:38:00,"{""info"": ""Sample log data"", ""session_id"": 7243}"
72,233,booking,,2024-05-18 20:44:35,"{""info"": ""Sample log data"", ""session_id"": 6616}"
73,151,click,,2023-05-26 20:41:31,"{""info"": ""Sample log data"", ""session_id"": 8841}"
74,377,search,,2024-09-29 14:00:14,"{""info"": ""Sample log data"", ""session_id"": 4278}"
75,494,search,,2021-10-14 06:22:13,"{""info"": ""Sample log data"", ""session_id"": 7544}"
76,741,review_submission,10.0,2021-08-26 02:49:32,"{""info"": ""Sample log data"", ""session_id"": 3228}"
77,505,review_submission,4.0,2022-03-12 04:19:41,"{""info"": ""Sample log data"", ""session_id"": 3122}"
78,154,booking,,2021-05-10 01:18:58,"{""info"": ""Sample log data"", ""session_id"": 9513}"
79,237,review_submission,3.0,2024-03-25 00:48:46,"{""info"": ""Sample log data"", ""session_id"": 3895}"
80,191,booking,13.0,2020-11-12 22:12:04,"{""info"": ""Sample log data"", ""session_id"": 1579}"
81,239,click,,2020-06-14 07:22:31,"{""info"": ""Sample log data"", ""session_id"": 1113}"
82,557,booking,3.0,2022-02-18 18:40:16,"{""info"": ""Sample log data"", ""session_id"": 1557}"
83,210,review_submission,,2021-09-05 15:41:15,"{""info"": ""Sample log data"", ""session_id"": 4130}"
84,239,click,11.0,2024-07-27 15:54:25,"{""info"": ""Sample log data"", ""session_id"": 9431}"
85,216,booking,,2020-09-13 06:51:51,"{""info"": ""Sample log data"", ""session_id"": 3095}"
86,369,review_submission,9.0,2022-04-16 22:35:35,"{""info"": ""Sample log data"", ""session_id"": 8614}"
87,225,review_submission,,2020-12-19 03:59:02,"{""info"": ""Sample log data"", ""session_id"": 8823}"
88,973,review_submission,,2024-08-05 19:41:49,"{""info"": ""Sample log data"", ""session_id"": 1271}"
89,916,review_submission,,2023-01-12 17:42:57,"{""info"": ""Sample log data"", ""session_id"": 6032}"
90,310,click,,2024-02-29 17:20:59,"{""info"": ""Sample log data"", ""session_id"": 9837}"
91,811,click,8.0,2023-09-13 17:38:02,"{""info"": ""Sample log data"", ""session_id"": 5740}"
92,31,booking,4.0,2023-10-31 00:57:59,"{""info"": ""Sample log data"", ""session_id"": 4247}"
93,664,review_submission,,2021-09-26 08:37:53,"{""info"": ""Sample log data"", ""session_id"": 5310}"
94,744,click,9.0,2024-11-12 15:47:51,"{""info"": ""Sample log data"", ""session_id"": 1622}"
95,227,review_submission,,2024-05-28 00:03:05,"{""info"": ""Sample log data"", ""session_id"": 4566}"
96,694,click,,2020-03-12 00:21:38,"{""info"": ""Sample log data"", ""session_id"": 4899}"
97,169,search,,2024-12-12 03:16:32,"{""info"": ""Sample log data"", ""session_id"": 7891}"
98,988,booking,,2020-09-07 17:13:05,"{""info"": ""Sample log data"", ""session_id"": 1489}"
99,131,booking,,2023-09-16 07:56:46,"{""info"": ""Sample log data"", ""session_id"": 8117}"
100,898,review_submission,11.0,2023-06-06 22:10:17,"{""info"": ""Sample log data"", ""session_id"": 8499}"
101,229,booking,,2024-01-03 10:38:09,"{""info"": ""Sample log data"", ""session_id"": 2533}"
102,892,booking,,2022-02-05 04:48:26,"{""info"": ""Sample log data"", ""session_id"": 3331}"
103,573,booking,12.0,2020-01-04 00:18:15,"{""info"": ""Sample log data"", ""session_id"": 4786}"
104,541,booking,,2021-03-31 14:00:01,"{""info"": ""Sample log data"", ""session_id"": 8695}"
