user_id,preferences,last_updated
1,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""scenic\"", \""luxury\"", \""family\""]""}",2020-01-02 18:38:37
2,"{""preferred_transport"": ""cruise"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""cultural\"", \""scenic\""]""}",2022-08-13 09:54:55
3,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""cultural\"", \""historic\""]""}",2024-02-18 22:04:30
4,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""scenic\"", \""budget\""]""}",2024-01-16 15:37:21
5,"{""preferred_transport"": ""train"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""family\"", \""cultural\"", \""luxury\"", \""romantic\""]""}",2022-08-26 11:15:05
6,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""budget\"", \""adventurous\"", \""luxury\"", \""family\""]""}",2021-01-10 22:43:37
7,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""budget\"", \""historic\""]""}",2025-01-01 19:28:38
8,"{""preferred_transport"": ""train"", ""budget_range"": ""high"", ""interest_tags"": ""[\""historic\"", \""romantic\""]""}",2020-07-01 21:56:46
9,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""budget\"", \""historic\""]""}",2024-05-16 10:15:33
10,"{""preferred_transport"": ""train"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""romantic\"", \""cultural\"", \""luxury\"", \""family\""]""}",2024-11-09 04:03:33
11,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""family\"", \""cultural\"", \""historic\""]""}",2020-10-28 03:41:06
12,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""family\"", \""adventurous\"", \""budget\""]""}",2020-06-17 07:17:46
13,"{""preferred_transport"": ""flight"", ""budget_range"": ""low"", ""interest_tags"": ""[\""budget\"", \""family\"", \""historic\""]""}",2022-02-11 13:09:36
14,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""romantic\"", \""cultural\"", \""adventurous\"", \""family\""]""}",2022-05-15 09:49:53
15,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""romantic\"", \""family\""]""}",2024-09-05 19:13:46
16,"{""preferred_transport"": ""flight"", ""budget_range"": ""low"", ""interest_tags"": ""[\""historic\"", \""romantic\"", \""cultural\"", \""budget\""]""}",2023-06-16 16:25:43
17,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""family\"", \""historic\""]""}",2021-05-26 12:14:00
18,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""luxury\"", \""family\"", \""adventurous\""]""}",2022-06-05 05:43:27
19,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""romantic\"", \""cultural\"", \""family\"", \""scenic\""]""}",2021-11-07 08:57:18
20,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""historic\"", \""budget\"", \""scenic\"", \""romantic\""]""}",2020-06-04 18:53:00
21,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""scenic\"", \""historic\"", \""luxury\"", \""family\""]""}",2021-07-31 08:06:49
22,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""adventurous\"", \""romantic\""]""}",2021-01-07 11:23:36
23,"{""preferred_transport"": ""train"", ""budget_range"": ""high"", ""interest_tags"": ""[\""historic\"", \""luxury\"", \""romantic\"", \""adventurous\""]""}",2024-12-18 09:45:36
24,"{""preferred_transport"": ""cruise"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""budget\"", \""cultural\""]""}",2022-04-05 05:39:13
25,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""luxury\"", \""adventurous\"", \""scenic\"", \""historic\""]""}",2020-01-29 22:36:39
26,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""cultural\"", \""historic\"", \""luxury\"", \""romantic\""]""}",2024-04-20 17:29:48
27,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""cultural\"", \""romantic\"", \""scenic\""]""}",2022-06-04 10:12:01
28,"{""preferred_transport"": ""train"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""luxury\"", \""romantic\"", \""budget\"", \""family\""]""}",2020-01-25 07:19:59
29,"{""preferred_transport"": ""cruise"", ""budget_range"": ""high"", ""interest_tags"": ""[\""scenic\"", \""romantic\""]""}",2020-12-24 14:59:06
30,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""scenic\"", \""romantic\"", \""family\"", \""luxury\""]""}",2021-10-16 09:41:06
31,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""luxury\"", \""romantic\"", \""adventurous\"", \""scenic\""]""}",2020-06-06 19:50:24
32,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""luxury\"", \""historic\"", \""family\""]""}",2022-11-02 07:46:41
33,"{""preferred_transport"": ""train"", ""budget_range"": ""high"", ""interest_tags"": ""[\""scenic\"", \""budget\"", \""adventurous\""]""}",2024-09-10 00:16:25
34,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""cultural\"", \""historic\""]""}",2021-04-08 02:17:35
35,"{""preferred_transport"": ""flight"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""scenic\"", \""adventurous\"", \""cultural\"", \""historic\""]""}",2022-08-15 17:24:30
36,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""adventurous\"", \""budget\"", \""cultural\""]""}",2020-11-15 08:50:52
37,"{""preferred_transport"": ""cruise"", ""budget_range"": ""high"", ""interest_tags"": ""[\""scenic\"", \""cultural\"", \""family\""]""}",2021-07-04 01:58:53
38,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""budget\"", \""family\""]""}",2023-07-03 03:33:30
39,"{""preferred_transport"": ""train"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""cultural\"", \""adventurous\""]""}",2020-04-30 07:30:56
40,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""romantic\"", \""scenic\""]""}",2022-08-06 04:40:49
41,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""adventurous\"", \""romantic\""]""}",2022-10-16 20:59:06
42,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""budget\"", \""romantic\"", \""luxury\""]""}",2023-05-26 18:10:49
43,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""luxury\"", \""cultural\""]""}",2024-12-08 19:54:29
44,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""family\"", \""scenic\""]""}",2022-09-01 13:28:33
45,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""cultural\"", \""adventurous\"", \""luxury\"", \""romantic\""]""}",2022-03-02 09:29:12
46,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""historic\"", \""luxury\"", \""family\""]""}",2021-09-04 04:00:15
47,"{""preferred_transport"": ""cruise"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""budget\"", \""luxury\""]""}",2022-09-02 07:14:48
48,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""luxury\"", \""budget\"", \""adventurous\""]""}",2022-10-10 09:57:36
49,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""scenic\"", \""cultural\"", \""adventurous\""]""}",2023-03-23 23:07:15
50,"{""preferred_transport"": ""train"", ""budget_range"": ""high"", ""interest_tags"": ""[\""luxury\"", \""adventurous\"", \""romantic\"", \""historic\""]""}",2022-08-02 02:33:31
51,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""budget\"", \""adventurous\"", \""family\""]""}",2023-10-05 17:49:26
52,"{""preferred_transport"": ""train"", ""budget_range"": ""high"", ""interest_tags"": ""[\""scenic\"", \""budget\"", \""historic\""]""}",2022-05-31 16:38:53
53,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""luxury\"", \""cultural\""]""}",2021-09-10 16:12:14
54,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""adventurous\"", \""romantic\""]""}",2020-08-14 06:27:59
55,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""adventurous\"", \""budget\"", \""family\"", \""romantic\""]""}",2024-03-15 23:26:01
56,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""historic\"", \""family\""]""}",2020-11-27 03:43:29
57,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""romantic\"", \""historic\""]""}",2024-09-27 19:11:19
58,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""scenic\"", \""family\"", \""adventurous\""]""}",2024-07-08 04:03:48
59,"{""preferred_transport"": ""cruise"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""family\"", \""romantic\"", \""luxury\"", \""adventurous\""]""}",2021-05-09 11:40:24
60,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""adventurous\"", \""family\"", \""budget\""]""}",2022-05-11 13:49:58
61,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""luxury\"", \""adventurous\""]""}",2020-08-28 17:34:39
62,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""budget\"", \""scenic\"", \""luxury\""]""}",2020-09-07 08:18:20
63,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""family\"", \""budget\""]""}",2021-04-19 17:59:10
64,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""family\"", \""scenic\"", \""luxury\""]""}",2023-12-18 13:50:03
