visit_id,user_id,destination_id,visit_timestamp,region,number_of_persons,total_price
1,949,2,2022-05-31 12:33:27,South America,5,15786.1
2,711,13,2021-01-29 05:47:05,Europe,4,2671.96
3,147,11,2024-06-13 04:11:00,South America,3,3863.57
4,422,4,2020-04-26 21:14:27,Africa,2,2159.39
5,185,12,2020-09-30 11:20:08,Oceania,4,3636.36
6,847,13,2022-12-16 17:50:30,South America,3,2003.97
7,5,9,2021-08-19 05:18:53,North America,2,2678.89
8,543,2,2023-01-29 09:19:01,Africa,5,15786.1
9,520,4,2021-10-08 13:42:35,Asia,4,4318.78
10,55,4,2021-04-08 14:27:24,Oceania,1,1079.69
11,865,8,2021-07-01 19:39:25,Europe,4,12316.14
12,687,1,2023-02-05 12:12:13,Asia,1,3377.42
13,215,7,2022-11-04 14:48:50,Africa,3,5636.95
14,825,13,2020-05-14 13:59:08,North America,4,2671.96
15,759,1,2021-06-30 11:07:50,Europe,5,16887.1
16,805,1,2024-05-18 18:00:14,North America,4,13509.68
17,73,4,2025-01-15 11:24:43,Africa,4,4318.78
18,334,7,2022-10-08 20:49:50,Europe,2,3757.97
19,798,2,2021-12-08 16:39:42,North America,3,9471.66
20,243,12,2021-09-13 05:47:15,South America,4,3636.36
21,913,4,2024-01-03 07:34:44,Africa,1,1079.69
22,497,1,2021-03-26 07:36:16,Europe,4,13509.68
23,951,10,2021-07-07 05:10:22,South America,4,2553.12
24,383,3,2021-08-26 05:14:24,Oceania,4,9681.92
25,368,5,2022-11-09 13:52:25,Europe,2,7024.54
26,33,12,2020-07-04 07:57:17,Asia,5,4545.45
27,140,2,2023-11-25 18:07:22,South America,4,12628.88
28,176,13,2021-11-14 01:28:11,Asia,3,2003.97
29,619,3,2021-06-11 23:18:28,Africa,5,12102.4
30,994,9,2020-09-25 15:59:36,South America,2,2678.89
31,878,9,2021-11-03 11:07:49,Africa,4,5357.77
32,485,14,2022-05-17 08:29:22,North America,4,6918.85
33,748,7,2022-02-08 23:39:06,Asia,2,3757.97
34,445,10,2025-01-12 13:41:27,Europe,2,1276.56
35,936,10,2023-07-21 23:19:37,North America,1,638.28
36,42,8,2020-04-14 10:55:48,South America,5,15395.18
37,544,7,2020-10-31 11:21:01,South America,4,7515.94
38,508,4,2024-10-01 03:48:22,North America,1,1079.69
39,710,12,2021-11-08 07:44:31,Europe,4,3636.36
40,368,5,2020-10-08 21:16:57,North America,2,7024.54
41,492,11,2021-05-17 16:53:36,Oceania,3,3863.57
42,471,14,2024-12-18 08:51:09,North America,5,8648.56
43,1000,8,2021-03-06 16:32:53,Oceania,4,12316.14
44,416,3,2023-12-13 12:24:11,Oceania,3,7261.44
45,649,1,2023-04-10 18:40:41,Oceania,1,3377.42
46,341,9,2022-07-10 11:21:07,South America,1,1339.44
47,771,5,2024-08-12 06:53:35,Africa,5,17561.34
48,814,4,2022-11-08 23:12:32,Oceania,1,1079.69
49,955,1,2023-02-04 21:06:01,North America,5,16887.1
50,114,7,2023-12-16 19:13:30,Africa,3,5636.95
51,42,6,2021-06-28 12:53:05,Oceania,3,9294.24
52,573,12,2024-10-08 05:09:45,Oceania,1,909.09
53,793,4,2022-11-06 14:10:01,Europe,2,2159.39
54,553,2,2024-12-07 08:50:10,Oceania,4,12628.88
55,215,13,2022-09-22 15:30:50,Asia,2,1335.98
56,920,5,2023-08-06 23:52:52,Asia,5,17561.34
57,56,2,2022-12-08 13:57:35,South America,3,9471.66
58,498,9,2021-01-16 05:52:43,South America,5,6697.22
59,727,9,2022-06-27 00:48:35,South America,5,6697.22
60,636,6,2021-08-08 04:39:39,South America,1,3098.08
61,90,2,2021-07-09 13:10:33,Asia,4,12628.88
62,982,2,2021-05-26 21:51:34,Asia,1,3157.22
63,115,12,2024-03-22 00:57:10,Europe,2,1818.18
64,896,4,2020-03-11 11:54:33,Asia,5,5398.47
65,427,11,2021-02-14 04:40:26,South America,5,6439.28
66,356,7,2020-03-07 17:50:10,Asia,4,7515.94
67,194,2,2021-12-22 19:38:09,Africa,1,3157.22
68,661,6,2024-12-02 23:20:35,Asia,4,12392.32
69,672,11,2024-02-19 09:51:05,Africa,3,3863.57
70,682,12,2024-08-31 00:47:28,South America,5,4545.45
71,469,5,2021-02-13 23:13:19,Asia,5,17561.34
72,176,13,2021-12-05 14:05:12,South America,3,2003.97
73,381,5,2021-04-05 20:54:28,Asia,1,3512.27
74,292,8,2021-05-14 13:21:45,Oceania,2,6158.07
75,549,5,2021-06-28 19:44:25,Oceania,2,7024.54
76,710,11,2021-05-16 00:01:22,Europe,2,2575.71
77,120,1,2024-11-19 23:42:06,Europe,3,10132.26
78,452,5,2021-07-27 05:03:45,Europe,3,10536.8
79,576,12,2022-09-11 17:02:23,Asia,1,909.09
80,152,6,2024-08-04 07:22:14,Europe,4,12392.32
81,547,5,2020-03-18 10:33:29,South America,1,3512.27
82,954,8,2023-11-24 01:59:33,Asia,2,6158.07
83,160,1,2024-04-25 11:09:34,Asia,5,16887.1
84,663,12,2024-01-12 09:20:26,Asia,3,2727.27
85,993,13,2021-04-01 23:20:19,Africa,5,3339.95
86,747,8,2020-12-14 22:51:34,Oceania,3,9237.11
87,491,1,2024-09-07 18:33:17,North America,2,6754.84
88,316,1,2021-11-15 15:35:24,South America,4,13509.68
89,366,2,2020-06-19 23:36:19,Africa,3,9471.66
90,657,4,2024-06-23 13:45:08,Europe,5,5398.47
91,801,13,2021-08-31 01:37:07,North America,3,2003.97
92,86,9,2020-09-28 11:17:47,Africa,4,5357.77
93,404,4,2022-09-14 05:44:23,Africa,4,4318.78
94,620,9,2023-01-26 18:56:53,South America,1,1339.44
95,152,12,2023-02-22 09:36:28,South America,4,3636.36
96,382,1,2022-12-07 15:06:55,Asia,3,10132.26
97,316,8,2020-09-29 03:49:39,Europe,5,15395.18
98,746,8,2023-10-06 19:31:01,Asia,4,12316.14
99,168,13,2023-07-10 20:31:38,Europe,4,2671.96
100,856,10,2020-09-24 10:26:21,Europe,5,3191.4
101,213,5,2024-06-20 01:17:05,Asia,4,14049.07
102,68,10,2020-10-01 19:10:55,North America,4,2553.12
103,420,11,2023-07-11 20:24:19,Europe,3,3863.57
104,570,8,2021-03-01 10:01:12,Europe,5,15395.18
105,191,14,2022-06-18 07:56:17,Africa,4,6918.85
106,503,1,2024-12-23 04:17:24,Asia,3,10132.26
107,506,9,2021-11-28 13:26:28,North America,4,5357.77
108,811,1,2022-03-27 02:37:06,Asia,2,6754.84
109,979,11,2021-01-20 19:18:09,Oceania,4,5151.42
110,682,5,2021-07-11 06:58:07,South America,4,14049.07
111,929,12,2020-03-29 08:49:59,North America,2,1818.18
112,784,5,2020-07-26 07:21:49,Africa,4,14049.07
113,764,6,2024-02-01 19:37:33,Africa,5,15490.4
114,447,14,2024-01-19 00:10:05,Oceania,3,5189.14
115,838,2,2024-05-11 08:41:54,Oceania,3,9471.66
116,590,1,2021-05-20 22:46:11,Africa,3,10132.26
117,60,3,2023-12-03 09:55:47,Oceania,3,7261.44
118,139,6,2020-06-13 07:38:23,Asia,2,6196.16
119,370,7,2020-05-31 08:26:47,Asia,3,5636.95
120,299,9,2024-05-15 12:39:47,Europe,1,1339.44
121,785,11,2020-10-20 15:04:32,Africa,2,2575.71
122,771,3,2022-09-29 07:18:39,Asia,5,12102.4
123,847,14,2022-04-23 09:26:52,Oceania,3,5189.14
124,715,12,2020-10-24 17:51:24,Africa,3,2727.27
125,594,6,2020-02-10 01:43:11,Europe,2,6196.16
126,531,5,2024-02-15 12:41:30,South America,3,10536.8
127,349,3,2021-11-07 22:01:41,Europe,1,2420.48
128,516,4,2024-10-01 16:21:06,Africa,2,2159.39
129,707,14,2024-07-11 03:55:39,Oceania,5,8648.56
130,565,12,2023-07-20 15:35:33,South America,1,909.09
131,939,2,2021-02-11 17:22:43,North America,1,3157.22
132,492,6,2023-01-31 11:04:18,Europe,3,9294.24
133,837,8,2024-06-13 06:44:12,Asia,5,15395.18
134,177,12,2020-03-30 08:27:58,Oceania,3,2727.27
135,835,2,2021-02-03 21:38:49,Oceania,2,6314.44
136,146,12,2022-08-13 03:31:02,Europe,2,1818.18
137,215,3,2023-08-12 19:45:43,Oceania,1,2420.48
138,782,13,2020-08-29 12:21:51,North America,1,667.99
139,794,8,2020-05-12 02:17:34,Europe,4,12316.14
140,111,1,2025-01-16 22:25:16,North America,5,16887.1
141,481,2,2020-05-14 11:18:09,North America,3,9471.66
142,309,11,2020-10-26 19:49:47,North America,1,1287.86
143,943,10,2024-12-30 14:51:31,Europe,2,1276.56
144,190,11,2020-03-31 21:43:04,North America,3,3863.57
145,150,14,2024-12-06 05:23:38,Asia,3,5189.14
146,361,3,2022-01-21 07:35:38,Africa,5,12102.4
